category,city,currency,data_id,extra_fields,item_category,item_custom_info,item_detail,item_main_category,item_main_category_id,item_source_category_id,item_source_sub_category_id,item_sub_category,item_title,item_url,make,model,price,price_original,serial_number,source_item_id,thumbbnail_url,thumbnail_s3_path,title,url,vendor_city,vendor_contact,vendor_location,vendor_name,vendor_state,year
"{'cat1_name': 'Wheel Loaders', 'cat2_name': '', 'cat1_id': '', 'cat2_id': ''}",,,,,,,,,,,,,2020 Caterpillar CC34B,/used-equipment/caterpillar/combination-rollers/cc34b/id/38634028,,,,,,,,,,,,,,,,
"{'cat1_name': 'Wheel Loaders', 'cat2_name': '', 'cat1_id': '', 'cat2_id': ''}",,,,,,,,,,,,,2020 Handy Hitch GBP16HD,/used-equipment/handy-hitch/contour-packer-rollers/gbp16hd/id/20592614,,,,,,,,,,,,,,,,
"{'cat1_name': 'Wheel Loaders', 'cat2_name': '', 'cat1_id': '', 'cat2_id': ''}",,,,,,,,,,,,,2008 Caterpillar CS-533E,/used-equipment/caterpillar/padfoot-compactors/cs-533e/id/20196246,,,,,,,,,,,,,,,,
"{'cat1_name': 'Wheel Loaders', 'cat2_name': '', 'cat1_id': '', 'cat2_id': ''}",,,,,,,,,,,,,2011 Caterpillar CD54,/used-equipment/caterpillar/walk-tow-behind-compactors/cd54/id/33608387,,,,,,,,,,,,,,,,
