category,city,currency,data_id,extra_fields,item_category,item_custom_info,item_detail,item_main_category,item_main_category_id,item_source_category_id,item_source_sub_category_id,item_sub_category,item_title,item_url,make,model,price,price_original,serial_number,source_item_id,thumbbnail_url,thumbnail_s3_path,title,url,vendor_city,vendor_contact,vendor_location,vendor_name,vendor_state,year
"{'cat1_name': 'Attachments', 'cat2_name': 'Augers / Post Hole Diggers', 'cat1_id': '', 'cat2_id': ''}",2018 Caterpillar H 160 E S,/used-equipment/caterpillar/breakers-hammers/h_160_e_s/id/27187113
"{'cat1_name': 'Attachments', 'cat2_name': 'Augers / Post Hole Diggers', 'cat1_id': '', 'cat2_id': ''}",Caterpillar HYD.THUMB.(452.2740),/used-equipment/caterpillar/thumbs/hyd.thumb.(452.2740)/id/37836997
"{'cat1_name': 'Attachments', 'cat2_name': 'Augers / Post Hole Diggers', 'cat1_id': '', 'cat2_id': ''}",2008 PTH PRODUCTS PTH Ripper,/used-equipment/pth-products/rippers/pth_ripper/id/31927670
"{'cat1_name': 'Attachments', 'cat2_name': 'Augers / Post Hole Diggers', 'cat1_id': '', 'cat2_id': ''}",2016 Case 4440-120,/used-equipment/case/miscellaneous-attachments/4440-120/id/38320512
category,item_title,item_url
"{'cat1_name': 'Attachments', 'cat2_name': 'Augers / Post Hole Diggers', 'cat1_id': '', 'cat2_id': ''}",2008 PTH PRODUCTS PTH Ripper,/used-equipment/pth-products/rippers/pth_ripper/id/31927670
"{'cat1_name': 'Attachments', 'cat2_name': 'Augers / Post Hole Diggers', 'cat1_id': '', 'cat2_id': ''}",Caterpillar HYD.THUMB.(452.2740),/used-equipment/caterpillar/thumbs/hyd.thumb.(452.2740)/id/37836997
"{'cat1_name': 'Attachments', 'cat2_name': 'Augers / Post Hole Diggers', 'cat1_id': '', 'cat2_id': ''}",2016 Case 4440-120,/used-equipment/case/miscellaneous-attachments/4440-120/id/38320512
"{'cat1_name': 'Attachments', 'cat2_name': 'Augers / Post Hole Diggers', 'cat1_id': '', 'cat2_id': ''}",2017 Caterpillar G330,/used-equipment/caterpillar/grapples/g330/id/38502689
"{'cat1_name': 'Attachments', 'cat2_name': 'Augers / Post Hole Diggers', 'cat1_id': '', 'cat2_id': ''}",2013 JRB QC500DTC,/used-equipment/jrb/forks/qc500dtc/id/26441329
"{'cat1_name': 'Attachments', 'cat2_name': 'Augers / Post Hole Diggers', 'cat1_id': '', 'cat2_id': ''}",2019 Caterpillar MP318 KOMBI-BACKE CC,/used-equipment/caterpillar/crushers-pulverizers-shears/mp318_kombi-backe_cc/id/38502778
"{'cat1_name': 'Attachments', 'cat2_name': 'Augers / Post Hole Diggers', 'cat1_id': '', 'cat2_id': ''}",2018 Rototilt R5,/used-equipment/rototilt/couplers/r5/id/37735983
"{'cat1_name': 'Attachments', 'cat2_name': 'Augers / Post Hole Diggers', 'cat1_id': '', 'cat2_id': ''}",2012 Allu DN 2-09,/used-equipment/allu/buckets/dn_2-09/id/24940690
"{'cat1_name': 'Attachments', 'cat2_name': 'Augers / Post Hole Diggers', 'cat1_id': '', 'cat2_id': ''}","2017 Bobcat Broom Angle 68""",/used-equipment/bobcat/brooms-sweepers/broom_angle_68inch/id/32891360
"{'cat1_name': 'Attachments', 'cat2_name': 'Augers / Post Hole Diggers', 'cat1_id': '', 'cat2_id': ''}",2016 FAE MTM-225,/used-equipment/fae/brush-cutters-mulchers/mtm-225/id/30367281
"{'cat1_name': 'Attachments', 'cat2_name': 'Augers / Post Hole Diggers', 'cat1_id': '', 'cat2_id': ''}",2018 Caterpillar H 160 E S,/used-equipment/caterpillar/breakers-hammers/h_160_e_s/id/27187113
"{'cat1_name': 'Attachments', 'cat2_name': 'Augers / Post Hole Diggers', 'cat1_id': '', 'cat2_id': ''}",2013 Strobel PG1416,/used-equipment/strobel/blades-box-scrapers/pg1416/id/25334712
"{'cat1_name': 'Attachments', 'cat2_name': 'Augers / Post Hole Diggers', 'cat1_id': '', 'cat2_id': ''}",2000 Case 586G,/used-equipment/case/augers-post-hole-diggers/586g/id/29190887
"{'cat1_name': 'Compaction Equipment', 'cat2_name': 'Combination Rollers', 'cat1_id': '', 'cat2_id': ''}",2011 Caterpillar CD54,/used-equipment/caterpillar/walk-tow-behind-compactors/cd54/id/33608387
"{'cat1_name': 'Compaction Equipment', 'cat2_name': 'Combination Rollers', 'cat1_id': '', 'cat2_id': ''}",2017 Wacker Neuson RTKx-SC3,/used-equipment/wacker-neuson/trench-compactors/rtkx-sc3/id/25764619
"{'cat1_name': 'Compaction Equipment', 'cat2_name': 'Combination Rollers', 'cat1_id': '', 'cat2_id': ''}",2016 Caterpillar 815KLRC,/used-equipment/caterpillar/soil-compactors/815klrc/id/20045288
"{'cat1_name': 'Compaction Equipment', 'cat2_name': 'Combination Rollers', 'cat1_id': '', 'cat2_id': ''}",2007 Caterpillar CS-583E,/used-equipment/caterpillar/smooth-drum-rollers/cs-583e/id/38006020
"{'cat1_name': 'Compaction Equipment', 'cat2_name': 'Combination Rollers', 'cat1_id': '', 'cat2_id': ''}",2014 Wacker Neuson BS60-2I,/used-equipment/wacker-neuson/rammers/bs60-2i/id/19945614
"{'cat1_name': 'Attachments', 'cat2_name': 'Augers / Post Hole Diggers', 'cat1_id': '', 'cat2_id': ''}",Gentech HT1440,/used-equipment/gentech/thumbs/ht1440/id/37858505
"{'cat1_name': 'Attachments', 'cat2_name': 'Augers / Post Hole Diggers', 'cat1_id': '', 'cat2_id': ''}",2017 Paladin M6M-0022,/used-equipment/paladin/miscellaneous-attachments/m6m-0022/id/33499969
"{'cat1_name': 'Attachments', 'cat2_name': 'Augers / Post Hole Diggers', 'cat1_id': '', 'cat2_id': ''}",Bodine G-200,/used-equipment/bodine/grapples/g-200/id/38351136
"{'cat1_name': 'Attachments', 'cat2_name': 'Augers / Post Hole Diggers', 'cat1_id': '', 'cat2_id': ''}",2015 CRAIG WLCPF,/used-equipment/craig/forks/wlcpf/id/25604204
"{'cat1_name': 'Attachments', 'cat2_name': 'Augers / Post Hole Diggers', 'cat1_id': '', 'cat2_id': ''}",2017 LaBounty UPX250,/used-equipment/labounty/crushers-pulverizers-shears/upx250/id/36671656
"{'cat1_name': 'Attachments', 'cat2_name': 'Augers / Post Hole Diggers', 'cat1_id': '', 'cat2_id': ''}",2006 Volvo 500567,/used-equipment/volvo/couplers/500567/id/32131496
"{'cat1_name': 'Attachments', 'cat2_name': 'Augers / Post Hole Diggers', 'cat1_id': '', 'cat2_id': ''}",2015 Caterpillar 220-4759,/used-equipment/caterpillar/buckets/220-4759/id/33691262
"{'cat1_name': 'Attachments', 'cat2_name': 'Augers / Post Hole Diggers', 'cat1_id': '', 'cat2_id': ''}",2010 Bobcat 74 ANGLE BROOM,/used-equipment/bobcat/brooms-sweepers/74_angle_broom/id/26648493
"{'cat1_name': 'Attachments', 'cat2_name': 'Augers / Post Hole Diggers', 'cat1_id': '', 'cat2_id': ''}",2020 Fecon BH74SS,/used-equipment/fecon/brush-cutters-mulchers/bh74ss/id/31669779
"{'cat1_name': 'Attachments', 'cat2_name': 'Augers / Post Hole Diggers', 'cat1_id': '', 'cat2_id': ''}",Caterpillar H 115 E S,/used-equipment/caterpillar/breakers-hammers/h_115_e_s/id/27667654
"{'cat1_name': 'Attachments', 'cat2_name': 'Augers / Post Hole Diggers', 'cat1_id': '', 'cat2_id': ''}",2019 Star 160A-E24,/used-equipment/star/augers-post-hole-diggers/160a-e24/id/26686500
"{'cat1_name': 'Compaction Equipment', 'cat2_name': 'Combination Rollers', 'cat1_id': '', 'cat2_id': ''}",2017 Multiquip-Mikasa MVH-208GH,/used-equipment/multiquip-mikasa/walk-tow-behind-compactors/mvh-208gh/id/31286722
"{'cat1_name': 'Attachments', 'cat2_name': 'Augers / Post Hole Diggers', 'cat1_id': '', 'cat2_id': ''}",Komatsu D155,/used-equipment/komatsu/blades-box-scrapers/d155/id/31927120
"{'cat1_name': 'Compaction Equipment', 'cat2_name': 'Combination Rollers', 'cat1_id': '', 'cat2_id': ''}",2016 Rammax RX157533,/used-equipment/rammax/trench-compactors/rx157533/id/28675959
"{'cat1_name': 'Compaction Equipment', 'cat2_name': 'Combination Rollers', 'cat1_id': '', 'cat2_id': ''}",2020 Volvo SD115B,/used-equipment/volvo/soil-compactors/sd115b/id/34308208
"{'cat1_name': 'Compaction Equipment', 'cat2_name': 'Combination Rollers', 'cat1_id': '', 'cat2_id': ''}",2017 Caterpillar CS54BLRC,/used-equipment/caterpillar/smooth-drum-rollers/cs54blrc/id/33081921
"{'cat1_name': 'Compaction Equipment', 'cat2_name': 'Combination Rollers', 'cat1_id': '', 'cat2_id': ''}",2020 Bomag BT60,/used-equipment/bomag/rammers/bt60/id/31818088
"{'cat1_name': 'Attachments', 'cat2_name': 'Augers / Post Hole Diggers', 'cat1_id': '', 'cat2_id': ''}",Gentech HT830,/used-equipment/gentech/thumbs/ht830/id/37854624
"{'cat1_name': 'Attachments', 'cat2_name': 'Augers / Post Hole Diggers', 'cat1_id': '', 'cat2_id': ''}",2017 Furukawa NFI,/used-equipment/furukawa/miscellaneous-attachments/nfi/id/31845753
"{'cat1_name': 'Attachments', 'cat2_name': 'Augers / Post Hole Diggers', 'cat1_id': '', 'cat2_id': ''}","New Holland 48"" QUICK ATTACH FORKS",/used-equipment/new-holland/forks/48inch_quick_attach_forks/id/25607500
"{'cat1_name': 'Attachments', 'cat2_name': 'Augers / Post Hole Diggers', 'cat1_id': '', 'cat2_id': ''}",2018 Genesis GXP440R,/used-equipment/genesis/crushers-pulverizers-shears/gxp440r/id/32583890
"{'cat1_name': 'Attachments', 'cat2_name': 'Augers / Post Hole Diggers', 'cat1_id': '', 'cat2_id': ''}",2018 Genesis GXP440R,/used-equipment/genesis/crushers-pulverizers-shears/gxp440r/id/32583890
"{'cat1_name': 'Attachments', 'cat2_name': 'Augers / Post Hole Diggers', 'cat1_id': '', 'cat2_id': ''}",2006 Liebherr SWA 48,/used-equipment/liebherr/couplers/swa_48/id/31734122
"{'cat1_name': 'Attachments', 'cat2_name': 'Augers / Post Hole Diggers', 'cat1_id': '', 'cat2_id': ''}",2019 Sweepster SB6,/used-equipment/sweepster/brooms-sweepers/sb6/id/28678435
"{'cat1_name': 'Attachments', 'cat2_name': 'Augers / Post Hole Diggers', 'cat1_id': '', 'cat2_id': ''}",Caterpillar 80.IN.GP.BUCKET,/used-equipment/caterpillar/buckets/80.in.gp.bucket/id/37286507
category,item_title,item_url
"{'cat1_name': 'Compaction Equipment', 'cat2_name': 'Combination Rollers', 'cat1_id': '', 'cat2_id': ''}",2020 Caterpillar CC34B,/https://www.constructionequipmentguide.com/uhttps://www.constructionequipmentguide.com/shttps://www.constructionequipmentguide.com/ehttps://www.constructionequipmentguide.com/dhttps://www.constructionequipmentguide.com/-https://www.constructionequipmentguide.com/ehttps://www.constructionequipmentguide.com/qhttps://www.constructionequipmentguide.com/uhttps://www.constructionequipmentguide.com/ihttps://www.constructionequipmentguide.com/phttps://www.constructionequipmentguide.com/mhttps://www.constructionequipmentguide.com/ehttps://www.constructionequipmentguide.com/nhttps://www.constructionequipmentguide.com/thttps://www.constructionequipmentguide.com//https://www.constructionequipmentguide.com/chttps://www.constructionequipmentguide.com/ahttps://www.constructionequipmentguide.com/thttps://www.constructionequipmentguide.com/ehttps://www.constructionequipmentguide.com/rhttps://www.constructionequipmentguide.com/phttps://www.constructionequipmentguide.com/ihttps://www.constructionequipmentguide.com/lhttps://www.constructionequipmentguide.com/lhttps://www.constructionequipmentguide.com/ahttps://www.constructionequipmentguide.com/rhttps://www.constructionequipmentguide.com//https://www.constructionequipmentguide.com/chttps://www.constructionequipmentguide.com/ohttps://www.constructionequipmentguide.com/mhttps://www.constructionequipmentguide.com/bhttps://www.constructionequipmentguide.com/ihttps://www.constructionequipmentguide.com/nhttps://www.constructionequipmentguide.com/ahttps://www.constructionequipmentguide.com/thttps://www.constructionequipmentguide.com/ihttps://www.constructionequipmentguide.com/ohttps://www.constructionequipmentguide.com/nhttps://www.constructionequipmentguide.com/-https://www.constructionequipmentguide.com/rhttps://www.constructionequipmentguide.com/ohttps://www.constructionequipmentguide.com/lhttps://www.constructionequipmentguide.com/lhttps://www.constructionequipmentguide.com/ehttps://www.constructionequipmentguide.com/rhttps://www.constructionequipmentguide.com/shttps://www.constructionequipmentguide.com//https://www.constructionequipmentguide.com/chttps://www.constructionequipmentguide.com/chttps://www.constructionequipmentguide.com/3https://www.constructionequipmentguide.com/4https://www.constructionequipmentguide.com/bhttps://www.constructionequipmentguide.com//https://www.constructionequipmentguide.com/ihttps://www.constructionequipmentguide.com/dhttps://www.constructionequipmentguide.com//https://www.constructionequipmentguide.com/3https://www.constructionequipmentguide.com/8https://www.constructionequipmentguide.com/6https://www.constructionequipmentguide.com/3https://www.constructionequipmentguide.com/4https://www.constructionequipmentguide.com/0https://www.constructionequipmentguide.com/2https://www.constructionequipmentguide.com/8
"{'cat1_name': 'Compaction Equipment', 'cat2_name': 'Combination Rollers', 'cat1_id': '', 'cat2_id': ''}",2016 Caterpillar 815FII,/https://www.constructionequipmentguide.com/uhttps://www.constructionequipmentguide.com/shttps://www.constructionequipmentguide.com/ehttps://www.constructionequipmentguide.com/dhttps://www.constructionequipmentguide.com/-https://www.constructionequipmentguide.com/ehttps://www.constructionequipmentguide.com/qhttps://www.constructionequipmentguide.com/uhttps://www.constructionequipmentguide.com/ihttps://www.constructionequipmentguide.com/phttps://www.constructionequipmentguide.com/mhttps://www.constructionequipmentguide.com/ehttps://www.constructionequipmentguide.com/nhttps://www.constructionequipmentguide.com/thttps://www.constructionequipmentguide.com//https://www.constructionequipmentguide.com/chttps://www.constructionequipmentguide.com/ahttps://www.constructionequipmentguide.com/thttps://www.constructionequipmentguide.com/ehttps://www.constructionequipmentguide.com/rhttps://www.constructionequipmentguide.com/phttps://www.constructionequipmentguide.com/ihttps://www.constructionequipmentguide.com/lhttps://www.constructionequipmentguide.com/lhttps://www.constructionequipmentguide.com/ahttps://www.constructionequipmentguide.com/rhttps://www.constructionequipmentguide.com//https://www.constructionequipmentguide.com/lhttps://www.constructionequipmentguide.com/ahttps://www.constructionequipmentguide.com/nhttps://www.constructionequipmentguide.com/dhttps://www.constructionequipmentguide.com/fhttps://www.constructionequipmentguide.com/ihttps://www.constructionequipmentguide.com/lhttps://www.constructionequipmentguide.com/lhttps://www.constructionequipmentguide.com/-https://www.constructionequipmentguide.com/chttps://www.constructionequipmentguide.com/ohttps://www.constructionequipmentguide.com/mhttps://www.constructionequipmentguide.com/phttps://www.constructionequipmentguide.com/ahttps://www.constructionequipmentguide.com/chttps://www.constructionequipmentguide.com/thttps://www.constructionequipmentguide.com/ohttps://www.constructionequipmentguide.com/rhttps://www.constructionequipmentguide.com/shttps://www.constructionequipmentguide.com//https://www.constructionequipmentguide.com/8https://www.constructionequipmentguide.com/1https://www.constructionequipmentguide.com/5https://www.constructionequipmentguide.com/fhttps://www.constructionequipmentguide.com/ihttps://www.constructionequipmentguide.com/ihttps://www.constructionequipmentguide.com//https://www.constructionequipmentguide.com/ihttps://www.constructionequipmentguide.com/dhttps://www.constructionequipmentguide.com//https://www.constructionequipmentguide.com/2https://www.constructionequipmentguide.com/0https://www.constructionequipmentguide.com/0https://www.constructionequipmentguide.com/6https://www.constructionequipmentguide.com/1https://www.constructionequipmentguide.com/0https://www.constructionequipmentguide.com/2https://www.constructionequipmentguide.com/0
