auction_ending,buying_format,category,category_id,city,currency,data_id,details,extra_fields,img_url,item_category,item_category_id,item_custom_info,item_detail,item_main_category,item_main_category_id,item_source_sub_category_id,item_sub_category,item_title,item_url,location,make,model,price,price_original,requrl,serial_number,source_item_id,thumbbnail_url,thumbnail_s3_path,title,url,vendor_city,vendor_contact,vendor_country,vendor_location,vendor_name,vendor_state,vendor_url,year
,,"{'cat1_name': 'Wheel Loaders', 'cat2_name': '', 'cat1_id': '', 'cat2_id': ''}",,,,,,,,,,,,,,,,2000 Caterpillar 992G,https://www.constructionequipmentguide.com/used-equipment/caterpillar/wheel-loaders/992g/id/33424511,,,,,,https://www.constructionequipmentguide.com/used-wheel-loaders-for-sale/,,,https://d1ovd2ryr2wywi.cloudfront.net/305x0_d9200e1069845413,,,,,,,,,,,
,,"{'cat1_name': 'Wheel Loaders', 'cat2_name': '', 'cat1_id': '', 'cat2_id': ''}",,,,,,,,,,,,,,,,2018 Caterpillar R1600H,https://www.constructionequipmentguide.com/used-equipment/caterpillar/wheel-loaders/r1600h/id/27630517,,,,,,https://www.constructionequipmentguide.com/used-wheel-loaders-for-sale/,,,https://d1ovd2ryr2wywi.cloudfront.net/305x0_d9200e1069845413,,,,,,,,,,,
,,"{'cat1_name': 'Wheel Loaders', 'cat2_name': '', 'cat1_id': '', 'cat2_id': ''}",,,,,,,,,,,,,,,,2018 Caterpillar R 1700 G,https://www.constructionequipmentguide.com/used-equipment/caterpillar/wheel-loaders/r_1700_g/id/33608308,,,,,,https://www.constructionequipmentguide.com/used-wheel-loaders-for-sale/,,,https://d1ovd2ryr2wywi.cloudfront.net/305x0_d9200e1069845413,,,,,,,,,,,
,,"{'cat1_name': 'Wheel Loaders', 'cat2_name': '', 'cat1_id': '', 'cat2_id': ''}",,,,,,,,,,,,,,,,2018 Caterpillar R1600H,https://www.constructionequipmentguide.com/used-equipment/caterpillar/wheel-loaders/r1600h/id/27630516,,,,,,https://www.constructionequipmentguide.com/used-wheel-loaders-for-sale/,,,https://d1ovd2ryr2wywi.cloudfront.net/305x0_d9200e1069845413,,,,,,,,,,,
,,"{'cat1_name': 'Wheel Loaders', 'cat2_name': '', 'cat1_id': '', 'cat2_id': ''}",,,,,,,,,,,,,,,,2018 Caterpillar R1300G,https://www.constructionequipmentguide.com/used-equipment/caterpillar/wheel-loaders/r1300g/id/27630543,,,,,,https://www.constructionequipmentguide.com/used-wheel-loaders-for-sale/,,,https://d1ovd2ryr2wywi.cloudfront.net/305x0_d9200e1069845413,,,,,,,,,,,
,,"{'cat1_name': 'Wheel Loaders', 'cat2_name': '', 'cat1_id': '', 'cat2_id': ''}",,,,,,,,,,,,,,,,2018 Caterpillar R1600H,https://www.constructionequipmentguide.com/used-equipment/caterpillar/wheel-loaders/r1600h/id/27630518,,,,,,https://www.constructionequipmentguide.com/used-wheel-loaders-for-sale/,,,https://d1ovd2ryr2wywi.cloudfront.net/305x0_d9200e1069845413,,,,,,,,,,,
,,"{'cat1_name': 'Wheel Dozers', 'cat2_name': '', 'cat1_id': '', 'cat2_id': ''}",,,,,,,,,,,,,,,,2017 Caterpillar 836K,https://www.constructionequipmentguide.com/used-equipment/caterpillar/wheel-dozers/836k/id/23864662,,,,,,https://www.constructionequipmentguide.com/used-wheel-dozers-for-sale/,,,https://d1ovd2ryr2wywi.cloudfront.net/305x0_d9188e1203413020,,,,,,,,,,,
,,"{'cat1_name': 'Wheel Dozers', 'cat2_name': '', 'cat1_id': '', 'cat2_id': ''}",,,,,,,,,,,,,,,,1968 Caterpillar 834,https://www.constructionequipmentguide.com/used-equipment/caterpillar/wheel-dozers/834/id/21986933,,,,,,https://www.constructionequipmentguide.com/used-wheel-dozers-for-sale/,,,https://d1ovd2ryr2wywi.cloudfront.net/305x0_d9188e1203413020,,,,,,,,,,,
,,"{'cat1_name': 'Wheel Dozers', 'cat2_name': '', 'cat1_id': '', 'cat2_id': ''}",,,,,,,,,,,,,,,,2009 Caterpillar 826H,https://www.constructionequipmentguide.com/used-equipment/caterpillar/wheel-dozers/826h/id/36527335,,,,,,https://www.constructionequipmentguide.com/used-wheel-dozers-for-sale/,,,https://d1ovd2ryr2wywi.cloudfront.net/305x0_d9188e1203413020,,,,,,,,,,,
,,"{'cat1_name': 'Wheel Dozers', 'cat2_name': '', 'cat1_id': '', 'cat2_id': ''}",,,,,,,,,,,,,,,,2002 Caterpillar 826GII,https://www.constructionequipmentguide.com/used-equipment/caterpillar/wheel-dozers/826gii/id/26477208,,,,,,https://www.constructionequipmentguide.com/used-wheel-dozers-for-sale/,,,https://d1ovd2ryr2wywi.cloudfront.net/305x0_d9188e1203413020,,,,,,,,,,,
